r,theta,mass
0.11,0.09,0.526333
0.11,0.1,0.526036
0.11,0.11,0.525781
0.11,0.12,0.525532
0.11,0.13,0.526153
0.11,0.14,0.525402
0.11,0.15,0.524032
0.11,0.16,0.524947
0.11,0.17,0.52491
0.11,0.18,0.523777
0.11,0.19,0.523544
0.11,0.2,0.523652
0.11,0.21,0.524578
0.11,0.22,0.524496
0.11,0.23,0.523863
0.11,0.24,0.524472
0.11,0.25,0.522864
0.11,0.26,0.522259
0.11,0.27,0.521578
0.11,0.28,0.522557
0.11,0.29,0.523444
0.11,0.3,0.522186
0.11,0.31,0.522743
0.11,0.32,0.523014
0.11,0.33,0.521809
0.11,0.34,0.522585
0.11,0.35,0.523196
0.11,0.36,0.522456
0.11,0.37,0.522564
0.11,0.38,0.521828
0.11,0.39,0.521361
0.11,0.4,0.521756
0.11,0.41,0.522314
0.11,0.42,0.521453
0.11,0.43,0.522247
0.11,0.44,0.522189
0.11,0.45,0.523278
0.11,0.46,0.523015
0.11,0.47,0.521893
0.11,0.48,0.523082
0.11,0.49,0.521781
0.11,0.5,0.523309
0.11,0.51,0.52234
0.11,0.52,0.522712
0.11,0.53,0.523315
0.11,0.54,0.522639
0.11,0.55,0.522326
0.11,0.56,0.523611
0.11,0.57,0.522863
0.11,0.58,0.52478
0.11,0.59,0.524074
0.11,0.6,0.524249
0.11,0.61,0.524547
0.11,0.62,0.524695
0.11,0.63,0.524549
0.11,0.64,0.523912
0.11,0.65,0.524523
0.11,0.66,0.525653
0.11,0.67,0.524243
0.11,0.68,0.525817
0.11,0.69,0.526754
0.11,0.7,0.526256
0.11,0.71,0.52613
0.11,0.72,0.526072
0.11,0.73,0.528025
0.11,0.74,0.52681
0.11,0.75,0.527661
0.11,0.76,0.52832
0.11,0.77,0.528574
0.11,0.78,0.528819
0.12,0,0.523547
0.12,0.01,0.522479
0.12,0.02,0.522559
0.12,0.03,0.523657
0.12,0.04,0.521871
0.12,0.05,0.521431
0.12,0.06,0.521218
0.12,0.07,0.521938
0.12,0.08,0.520087
0.12,0.09,0.520614
0.12,0.1,0.520173
0.12,0.11,0.519768
0.12,0.12,0.519794
0.12,0.13,0.518754
0.12,0.14,0.519851
0.12,0.15,0.518971
0.12,0.16,0.518528
0.12,0.17,0.516992
0.12,0.18,0.518293
0.12,0.19,0.517425
0.12,0.2,0.517929
0.12,0.21,0.518432
0.12,0.22,0.518915
0.12,0.23,0.517791
0.12,0.24,0.51753
0.12,0.25,0.516769
0.12,0.26,0.516634
0.12,0.27,0.517696
0.12,0.28,0.515648
0.12,0.29,0.515782
0.12,0.3,0.516309
0.12,0.31,0.517656
0.12,0.32,0.515582
0.12,0.33,0.516693
0.12,0.34,0.51608
0.12,0.35,0.516277
0.12,0.36,0.516442
0.12,0.37,0.516579
0.12,0.38,0.51602
0.12,0.39,0.516834
0.12,0.4,0.516209
0.12,0.41,0.516663
0.12,0.42,0.517227
0.12,0.43,0.516563
0.12,0.44,0.516911
0.12,0.45,0.516403
0.12,0.46,0.515707
0.12,0.47,0.516626
0.12,0.48,0.517348
0.12,0.49,0.516352
0.12,0.5,0.517478
0.12,0.51,0.516878
0.12,0.52,0.517997
0.12,0.53,0.515995
0.12,0.54,0.517005
0.12,0.55,0.517588
0.12,0.56,0.516962
0.12,0.57,0.518811
0.12,0.58,0.518851
0.12,0.59,0.517603
0.12,0.6,0.518377
0.12,0.61,0.518266
0.12,0.62,0.517785
0.12,0.63,0.519003
0.12,0.64,0.518668
0.12,0.65,0.519674
0.12,0.66,0.519903
0.12,0.67,0.520328
0.12,0.68,0.5198
0.12,0.69,0.520084
0.12,0.7,0.521135
0.12,0.71,0.522323
0.12,0.72,0.522301
0.12,0.73,0.521504
0.12,0.74,0.524057
0.12,0.75,0.522614
0.12,0.76,0.522284
0.12,0.77,0.523156
0.12,0.78,0.522845
0.13,0,0.518125
0.13,0.01,0.519358
0.13,0.02,0.517154
0.13,0.03,0.517516
0.13,0.04,0.517607
0.13,0.05,0.516369
0.13,0.06,0.515229
0.13,0.07,0.514716
0.13,0.08,0.515182
0.13,0.09,0.515624
0.13,0.1,0.515331
0.13,0.11,0.514494
0.13,0.12,0.514019
0.13,0.13,0.513803
0.13,0.14,0.513909
0.13,0.15,0.512969
0.13,0.16,0.512773
0.13,0.17,0.513905
0.13,0.18,0.511121
0.13,0.19,0.512687
0.13,0.2,0.511749
0.13,0.21,0.512492
0.13,0.22,0.512831
0.13,0.23,0.51222
0.13,0.24,0.512061
0.13,0.25,0.510661
0.13,0.26,0.510554
0.13,0.27,0.511622
0.13,0.28,0.511621
0.13,0.29,0.510586
0.13,0.3,0.510286
0.13,0.31,0.510062
0.13,0.32,0.509666
0.13,0.33,0.509881
0.13,0.34,0.510216
0.13,0.35,0.50979
0.13,0.36,0.509776
0.13,0.37,0.508779
0.13,0.38,0.510216
0.13,0.39,0.508983
0.13,0.4,0.51003
0.13,0.41,0.510781
0.13,0.42,0.510128
0.13,0.43,0.50926
0.13,0.44,0.510165
0.13,0.45,0.510499
0.13,0.46,0.51011
0.13,0.47,0.510147
0.13,0.48,0.510702
0.13,0.49,0.510567
0.13,0.5,0.510888
0.13,0.51,0.510656
0.13,0.52,0.511834
0.13,0.53,0.510767
0.13,0.54,0.512127
0.13,0.55,0.511457
0.13,0.56,0.510874
0.13,0.57,0.511464
0.13,0.58,0.511645
0.13,0.59,0.511567
